dev,address,district,sale_price,description,detail,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
H Sukhumvit 43,"Soi Phrom Mit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,12000000.0,"PropertyScout ID 954486
Check all listing details on our website https://propertyscout.co.th/en/95----","Fully furnished 2 bedrooms, 2 bathrooms condominium for rent with a floor size
of 59 sq.m. in the Wattana district. Please contact us to schedule a viewing.",195125.0,0.0,0.74,4.67,-6.06,2.0,2.0,59.0,32.0,1.0,2014.0,1,1,1,1,1,1,1,0,0,0,0,1,830.0,3600.0,1,0
A Space I.D. Asoke - Ratchada,"Thanon Din Daeng, Din Daeng, Bangkok 10400",Ratchathewi,4639200.0,"PropertyScout ID 954280
Check all listing details on our website https://propertyscout.co.th/en/95----","Fully Fitted 1 bedroom, 1 bathroom condo for sale with a floor size of 33 sq.m.
in the Din Daeng. Please contact us to schedule a viewing.",126979.0,0.0,11.06,4.16,4.51,1.0,1.0,33.0,30.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,1,710.0,910.0,1,1
Aguston Sukhumvit 22,"150/1 สุขุมวิท Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,15000000.0,"PropertyScout ID 923172
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 2-bedroom 2-bathroom Condo unit, sized 96 sqm on the 15th Floor with
Breathtaking Views at Aguston Sukhumvit 22 by MRT Queen Sirikit Centre",151925.0,0.0,-4.7,4.54,0.17,2.0,2.0,96.0,24.0,2.0,2009.0,1,1,1,1,1,1,1,1,1,0,0,1,1400.0,1900.0,0,0
KHUN by YOO inspired by Starck,"139 Soi Sukhumvit 55, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,25000000.0,"PropertyScout ID 923585
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 1-bedroom 1-bathroom Condo unit, sized 48.83 sqm on the 16th Floor with
Breathtaking Views at KHUN by YOO by BTS Thong Lor",428041.0,0.0,-11.55,3.76,-1.4,1.0,1.0,48.83,27.0,1.0,2020.0,1,1,1,1,1,1,1,1,1,1,1,1,,,0,0
Aspire Sukhumvit 48,"Soi Piya Watchara, Phra Khanong, Khlong Toei, Bangkok 10110",Khlong Toei,4500000.0,"PropertyScout ID 513916
Check all listing details on our website https://propertyscout.co.th/en/51----","Fully furnished 2 bedrooms, 2 bathrooms condo for rent / sale with a floorsize
of 64 squaremeters, located on the 17th floor of the Aspire Sukhumvit 48
building, in the popular Khlong Toei district near BTS Phra Khanong. Please
contact us to schedule a viewing.",97051.0,0.0,-7.54,5.48,8.58,2.0,2.0,64.0,25.0,2.0,2014.0,1,1,1,1,1,0,1,0,0,0,0,1,880.0,1700.0,1,0
Belle Grand Rama 9,"131 Soi Rama 9 Soi 3, Khwaeng Huai Khwang, Khet Huai Khwang",Huai Khwang,15800000.0,This 3-bedroom condo in Rama 9 is available now on the top floor in Belle Grand Rama 9,"this Bangkok condo in Rama 9 features a bigger size (101.92 sqm) and is located on one of the top floors of Belle Grand Rama 9 - right in the midst of Grand Rama 9 and Grand Central Rama 9 in Bangkok's new Central Business District.
great view
3-bedroom
3-bathroom
area: 101.92 sqm
balcony with a nice city view
one of the top floors (30+)
1 parking slot
fully furnished
open and fully equipped kitchen
full electrical appliances including refrigerator, washing machine, TV, and microwave
foreign freehold ownership quota is available",201531.0,35.16,48.6,2.98,9.41,3.0,2.0,101.92,43.0,8.0,2015.0,1,1,1,1,1,0,1,1,1,0,0,0,580.0,1100.0,1,0
Focus Ploenchit,"60 Soi Pha Suk, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,6500000.0,"PropertyScout ID 924292
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 1-bedroom 1-bathroom Condo unit, sized 47.78 sqm on the 2nd Floor with
Breathtaking Views at Focus Ploenchit by BTS Phloen Chit",137777.0,0.0,-6.09,4.53,-1.89,1.0,1.0,47.78,8.0,1.0,2014.0,1,1,1,1,1,0,1,1,0,0,0,0,540.0,540.0,1,1
Focus Ploenchit,"60 Soi Pha Suk, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,6500000.0,"PropertyScout ID 924293
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 1-bedroom 1-bathroom Condo unit, sized 47.78 sqm on the 2nd Floor with
Breathtaking Views at Focus Ploenchit by BTS Phloen Chit",137777.0,0.0,-6.09,4.53,-1.89,1.0,1.0,47.78,8.0,1.0,2014.0,1,1,1,1,1,0,1,1,0,0,0,0,540.0,540.0,1,1
Ashton Chula - Silom,"778 Soi Mahaphruttharam, Khwaeng Si Phraya, Khet Bang Rak",Bang Rak,8600000.0,"PropertyScout ID 922539
Check all listing details on our website https://propertyscout.co.th/en/92----","Modern 1-bedroom 1-bathroom condominium on the 27th floor of Ashton Chula-Silom
building, in the international Bang rak district, perfect for an urban
lifestyle.",253889.0,0.0,-0.29,3.9,1.1,1.0,1.0,34.0,56.0,1.0,2018.0,1,1,1,1,1,1,1,1,0,0,0,1,410.0,1300.0,1,0
Life @ Sathorn 10,"Soi Suksavithaya, Khwaeng Silom, Khet Bang Rak",Sathon,5390000.0,"PropertyScout ID 709861
Check all listing details on our website https://propertyscout.co.th/en/70----","Luxury 1-bedroom 1-bathroom Condo unit, sized 40 sqm on the 7th Floor with
Breathtaking Views at Life@Sathorn 10 by BTS Saint Louis",134448.0,0.0,0.57,4.13,1.98,1.0,1.0,40.0,27.0,1.0,2010.0,1,1,1,1,1,1,1,1,1,0,0,0,660.0,1300.0,1,0
Thonglor Tower,"Soi Phothibut, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,5900000.0,"PropertyScout ID 799772
Check all listing details on our website https://propertyscout.co.th/en/79----","Spacious 2-bedroom 4-bathroom Condo unit, sized 100 sqm on the 13th Floor with
Breathtaking Views at Thong Lo Tower by BTS Thong Lor",87121.0,0.0,-2.16,5.23,17.65,2.0,2.0,100.0,18.0,1.0,1995.0,1,1,1,1,1,0,1,1,0,1,1,0,1600.0,3200.0,0,0
Taka Haus Ekamai 12,"37 Soi Charoen Mit, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,9500000.0,"PropertyScout ID 509528
Check all listing details on our website https://propertyscout.co.th/en/50----","Cozy 2-bedroom 1-bathroom condominium unit, sized 45 sqm on the 1st Floor with
Breathtaking Views at Taka Haus by BTS Ekkamai",161290.0,-15.46,-16.64,3.55,-21.93,2.0,1.0,44.75,8.0,2.0,2019.0,1,1,1,1,1,0,1,1,1,0,1,1,1800.0,1900.0,0,0
The Lofts Asoke,"253 Thanon Asok Montri, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,20757000.0,"PropertyScout ID 683164
Check all listing details on our website https://propertyscout.co.th/en/68----","Cozy 2-bedroom 2-bathroom Condominium unit, sized 86 sqm on the 20th Floor with
Breathtaking Views at The Lofts Asoke by BTS Asoke",224835.0,0.0,0.0,4.13,6.18,2.0,2.0,86.0,45.0,1.0,2018.0,1,1,1,1,1,0,1,1,0,1,1,1,210.0,900.0,1,1
