dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Lake Green,"93 Soi Sukhumvit 8, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,17500000.0,,Bedrooms|Bathrooms|Internal area,2|2|138.7,Floors|Towers|Project Area|Year built,27|1|363 m2|1997,This condo with a lake view on Sukhumvit 8 is available on a high floor at Lake Green condominium near BTS Nana,"amazing view of the lake and Benjakitti park
2-bedroom
2-bathroom
large balcony with an amazing view of the lake in Benjakitti park
high-floor: 20 or higher
fixed parking slot
large area: 138.7 sqm
facing direction: South and East
fully furnished
fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway,Nana|Asok|Sukhumvit Toll Plaza|Sukhumvit|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza,700 m / 8 minutes by foot|1.2 km / 9 minutes by car|1.4 km / 8 minutes by car|1.5 km / 8 minutes by car|3.6 km / 16 minutes by car|3.6 km / 15 minutes by car,"105,833",0,-11.89,3.89,-8.29
The Sukhothai Residences,"Soi Sathon 1, Lane 1, Khwaeng Thung Maha Mek, Khet Sathon",Sathon,53376804.0,,Bedrooms|Bathrooms|Internal area,1|1|246.37,Floors|Towers|Project Area|Year built,"41|1|8,400 m2|2010","The Sukhothai Residences Sathorn luxury condo for sale in Bangkok is an icon of world-class luxury hospitality and elegant architectural design.
The masterminds behind the development of this sophisticated hotel, Kerry Hill and Ed Tuttle, two internationally renowned architects, now reunite for The Sukhothai Residences, the most highly anticipated residential development in Bangkok.
This luxury Bangkok condominium was built by HKR International in 2010.
The condominium comprises a single building, having 196 luxury apartments on 41 floors.
Apartment types","Unit types: 1-4bedroom
Unit sizes: 113 - 1,180 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-mrt|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Lumphini|Sala Daeng|Si Lom|Rama 4-2 Toll Plaza|Rama 4-1 Toll Plaza|River Side Toll Plaza,1.9 km / 9 minutes by car|2.1 km / 14 minutes by car|2.2 km / 12 minutes by car|2.5 km / 12 minutes by car|2.6 km / 13 minutes by car|2.7 km / 10 minutes by car,"345,959",0,0.68,3.21,3.47
D.S. Tower 2 Sukhumvit 39,"Soi Phon Si, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,9000000.0,,Bedrooms|Bathrooms|Internal area,3|2|137,Floors|Towers|Project Area|Year built,"30|1|4,860 m2|1996",This large condo in PhromPhong is available on a low floor in D.S. Tower 2 Sukhumvit 39 condominium.,"3-bedroom
2-bathroom
balcony
area: 137 sqm
low floor: 10-
facing direction: West towards Asoke
fully furnished: classical style
fully equipped kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|True|False|False|False,marker marker-bts|marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Phetchaburi|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.5 km / 9 minutes by car|2 km / 5 minutes by car|2.2 km / 14 minutes by car|2.5 km / 14 minutes by car|2.5 km / 14 minutes by car|2.6 km / 8 minutes by car,"89,882",0,15.18,4.23,-5.65
The Nest Ploenchit,"Soi Nai Loet, Lumphini, Pathum Wan, Bangkok 10110",Watthana,7317679.0,,Bedrooms|Bathrooms|Internal area,1|1|65.41,Floors|Towers|Project Area|Year built,8|1|938 m2|2012,"The Nest Ploenchit low-rise Bangkok condo for sale near BTS Ploenchit was built in 2012.
This Bangkok apartment building comprises a single tower, having 64 apartments on 8 floors.
Types of apartments","Unit types: studio - 2-bedroom
Unit sizes: 29 - 88 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|False|False|False,marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-bts|marker marker-expressway,Phloen Chit|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza|Nana|Chit Lom|Asok 2 Toll Plaza,480 m / 6 minutes by foot|530 m / 7 minutes by foot|630 m / 8 minutes by foot|1.2 km / 20 minutes by car|1.2 km / 17 minutes by car|2.8 km / 7 minutes by car,"147,445",0,2.51,4.74,-11.55
Supalai Park Asoke-Ratchada,"599/420 Supalai Park Condo, Asoke-Ratchada, Asoke-Dindaeng Rd., Dindaeng, แขวง ดินแดง เขตดินแดง",Ratchathewi,3625732.0,,Bedrooms|Bathrooms|Internal area,1|1|65.54,Floors|Towers|Project Area|Year built,"29|1|5,600 m2|2012","Supalai Park Asoke-Ratchada condo for sale on Rama 9 Road was built by Supalai PCL in 2012
Supalai PCL is one of Thailand's largest developers that also built Supalai Place Sukhumvit 39, Supalai Premier Place Asoke, Supalai Oriental, and many other condominiums in Bangkok.
This condominium near MRT Rama IX comprises a single building having 500 condos on 29 floor
Apartment types","unit types: 1-2 bedroom
unit sizes: 34-64 sqm",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|True|True|True,marker marker-mrt|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt,Phraram Kao 9|Phra Ram 9|Asok 2 Toll Plaza|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Phetchaburi,620 m / 8 minutes by foot|640 m / 8 minutes by foot|780 m / 10 minutes by foot|1 km / 12 minutes by car|1 km / 13 minutes by car|1.2 km / 12 minutes by car,"77,006",0,7.46,4.36,4.48
Bright Sukhumvit 24,"85 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,36750000.0,,Bedrooms|Bathrooms|Internal area,3|3|162.16,Floors|Towers|Project Area|Year built,"36|2|7,569 m2|2011",This luxury property on Sukhumvit 24 duplex with 3 bedrooms on a high floor is available now in Bright Sukhumvit 24,"this condo is a duplex - on 2 floors
3-bedroom with a luxury design
3-bathroom
2 balconies
high floor: 20+
nice city view
facing direction: West
fixed car parking slot
partially furnished
open & equipped kitchen
full set of electrical appliances
foreign freehold ownership quota is available",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts|marker marker-expressway,Phrom Phong|Queen Sirikit National Convention Centre|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza|Thong Lo|Rama 4-1 Toll Plaza,850 m / 4 minutes by car|1.7 km / 9 minutes by car|1.8 km / 8 minutes by car|1.9 km / 9 minutes by car|2 km / 10 minutes by car|2.1 km / 12 minutes by car,"202,173",0,1.5,3.93,2.64
The Address Asoke,"Phetchaburi Road, Khwaeng Makkasan, Khet Ratchathewi",Watthana,10800000.0,,Bedrooms|Bathrooms|Internal area,2|2|66.9,Floors|Towers|Project Area|Year built,"44|1|6,308 m2|2012","This condo with 2 bedrooms in Asoke is available in The Address Asoke luxury condominium. This apartment is a corner unit, facing East and South. It features a very good light and windy atmosphere","2 bedrooms
2 bathrooms
high floor (15+)
balcony
1 parking slot
facing East and South
fully furnished
open and fully equipped kitchen
bathroom with Jacuzzi
full electrical appliances - flat TV, refrigerator, washing machine, microwave",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-mrt|marker marker-mrt,Phetchaburi|Asok 2 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza|Phraram Kao 9|Phra Ram 9,220 m / 3 minutes by foot|800 m / 2 minutes by car|820 m / 14 minutes by car|890 m / 4 minutes by car|1.1 km / 8 minutes by car|1.2 km / 8 minutes by car,"156,451",0,-0.38,4.48,5.99
Yada Residential,"Soi Phrom Sak, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,7000000.0,,Bedrooms|Bathrooms|Internal area,2|2|134,Floors|Towers|Year built,9|1|1986,A large condo in Prompong for sale is available in Yada Residential Sukhumvit 39 condominium,"combined condo: 2 title deeds
this condo requires some cosmetic renovation
3-bedroom
2-bathroom
2 balconies: nice greenery view
large size: 134 sqm
facing direction: East and South
2 car parking slots
fully furnished
fully equipped kitchen
full set of electrical appliances",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|False|False|True|False|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phrom Phong|Asok|Sukhumvit|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.1 km / 6 minutes by car|2 km / 11 minutes by car|2.1 km / 13 minutes by car|3 km / 20 minutes by car|3 km / 19 minutes by car|3.1 km / 13 minutes by car,"42,893",-49.17,-41.45,6.99,-24.92
The Heritage,"Soi Prida, Khlong Toei, Bangkok 10110",Khlong Toei,11991244.0,,Bedrooms|Bathrooms|Internal area,1|1|174.66,Floors|Towers|Year built,14|1|1983,"The Heritage Sukhumvit 8 Nana condo for sale in Bangkok CBD is located in the heart of Bangkok's tourist and business district.
It is surrounded by endless shopping and entertainment spots and destinations, as well as hotels and office buildings. This location is very convenient for people living and working in the Sukhumvit area in Asoke or Nana.
The Heritage Bangkok Sukhumvit 8 condominium features bigger units with a minimum of 3 bedrooms.
The Heritage condominium was constructed in 1983. It comprises a single building, having 33 units on 14 floors.
Facilities at The Heritage Sukhumvit 8 condo for sale near BTS Nana
Facilities at The Heritage include:","elevator
parking
24-hour security with key-card entrance and exit
CCTV cameras
swimming pool
fitness/gym
shop on-premises
restaurant on-premises",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|False|False|True|True|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway,Nana|Asok|Sukhumvit Toll Plaza|Sukhumvit|Phetchaburi Toll Plaza|Rama 4-2 Toll Plaza,240 m / 3 minutes by foot|700 m / 8 minutes by foot|930 m / 5 minutes by car|1.1 km / 5 minutes by car|1.9 km / 13 minutes by car|3.2 km / 13 minutes by car,"109,930",0,55.04,3.58,23.31
BEATNIQ Sukhumvit 32,"21-58 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,20059385.0,,Bedrooms|Bathrooms|Internal area,1|1|95.82,Floors|Towers|Year built,34|1|2018,"Beatniq Sukhumvit 32 Thonglor luxury condo for sale in Bangkok near BTS Thong Lo was built in 2018 by SC Asset PLC.
This luxury Bangkok condominium comprises one building, having 197 luxury apartments on 34 floors.
Land area: 1-3-69 Rai. Parking slots for 193 cars.
Facilities at BEATNIQ Sukhumvit 32 luxury condominium","grand lobby
reading lounge
meeting room
landscaped garden
floating pool pavilion
steam and sauna
fitness room
yoga studio
kids' room
sky lounge
heated spa pool
24-hours security and 24/7 security guards and reception desk
key card with access to specific floor
CCTV
Wi-Fi in the public area",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,500 m / 6 minutes by foot|800 m / 4 minutes by car|1.4 km / 8 minutes by car|3 km / 10 minutes by car|3.1 km / 13 minutes by car|3.2 km / 13 minutes by car,"311,573",0,9.72,4.38,16.6
