dev,address,district,sale_price,rent_price,internal_feature_keys,internal_feature_values,external_feature_keys,exteranal_feature_values,description,detail,amenity_keys,amenity_values,neighbor_cats,neighbor_names,neighbor_distances,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year
Centric Ari Station,"27 Soi Ari 1, Khwaeng Samsen Nai, Khet Phaya Thai",Phaya Thai,9800000.0,,Bedrooms|Bathrooms|Internal area,2|2|55,Floors|Towers|Project Area|Year built,"30|2|4,372 m2|2016","PropertyScout ID 887748
Check all listing details on our website https://propertyscout.co.th/en/88----","Modern 2-bedroom 2-bathroom Condo unit, sized 55 sqm on the 22nd Floor with
Breathtaking Views at Centric Ari Station",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway|marker marker-bts,Ari|Sanam Pao|Khlong Prapa 2 Toll Plaza|Phahon Yothin 2 Toll Plaza|Khlong Prapa 1 Toll Plaza|Victory Monument,480 m / 6 minutes by foot|660 m / 8 minutes by foot|1.3 km / 4 minutes by car|1.6 km / 7 minutes by car|1.7 km / 4 minutes by car|2 km / 6 minutes by car,"188,639",0,-6.19,4.27,13.34
BEATNIQ Sukhumvit 32,"21-58 Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,19000000.0,65000.0,Bedrooms|Bathrooms|Internal area,1|1|54.41,Floors|Towers|Year built,34|1|2018,"PropertyScout ID 939342
Check all listing details on our website https://propertyscout.co.th/en/93----","Modern 1-bedroom 1-bathroom Condo unit, sized 54.41 sqm on the 18th Floor with
Breathtaking Views at BEATNIQ by BTS Thong Lor.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Thong Lo|Phrom Phong|Ekkamai|At Narong Toll Plaza|Tha Ruea 2 Toll Plaza|Tha Ruea 1 Toll Plaza,500 m / 6 minutes by foot|800 m / 4 minutes by car|1.4 km / 8 minutes by car|3 km / 10 minutes by car|3.1 km / 13 minutes by car|3.2 km / 13 minutes by car,"311,573",0,9.72,4.38,16.6
The Address Siam Ratchathewi,"362 Phetchaburi Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi",Ratchathewi,15040000.0,,Bedrooms|Bathrooms|Internal area,2|2|69.5,Floors|Towers|Year built,50|1|2022,"PropertyScout ID 939265
Check all listing details on our website https://propertyscout.co.th/en/93----","Modern 2-bedroom 2-bathroom Condo unit, sized 69.5 sqm at The Address Siam near
by BTS  Ratchathewi.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|False|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Ratchathewi|Phaya Thai|National Stadium|Uruphong Toll Plaza|Yommarat Toll Plaza|Phahon Yothin 1 Toll Plaza,200 m / 3 minutes by foot|650 m / 9 minutes by foot|1 km / 6 minutes by car|1 km / 7 minutes by car|1.2 km / 5 minutes by car|2.5 km / 10 minutes by car,"168,883",0,26.88,2.57,14.24
WYNE Sukhumvit,"1681 Thanon Sukhum Vit, Khwaeng Phra Khanong Nuea, Khet Watthana",Khlong Toei,4350000.0,,Bedrooms|Bathrooms|Internal area,1|1|30,Floors|Towers|Project Area|Year built,"31|1|4,300 m2|2013","PropertyScout ID 882939
Check all listing details on our website https://propertyscout.co.th/en/88----","Fully furnished 1 bedroom, 1 bathroom condo for sale with a floorsize of 30
squaremeters, located on the 21st floor of the Wyne By Sansiri building, in the
popular Khlong Toei district near BTS Phra Khanong. Please contact us to
schedule a viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|True,marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-bts|marker marker-expressway|marker marker-expressway,Phra Khanong|On Nut|Phra Khanong Toll Plaza|Ekkamai|At Narong 2 Toll Plaza|At Narong 1 Toll Plaza,420 m / 6 minutes by foot|1.1 km / 11 minutes by car|1.3 km / 6 minutes by car|1.3 km / 6 minutes by car|2 km / 13 minutes by car|2.2 km / 14 minutes by car,"105,000",-17.87,-17.23,4.57,-18.86
The Trendy Condominium,"Soi Saeng Chan, Khlong Tan Nuea, Vadhana, Bangkok 10110",Khlong Toei,4020000.0,20000.0,Bedrooms|Bathrooms|Internal area,1|1|36.7,Floors|Towers|Project Area|Year built,"17|1|9,860 m2|2008","PropertyScout ID 824572
Check all listing details on our website https://propertyscout.co.th/en/82----","Fully furnished 1 bedroom, 1 bathroom condo for rent / sale with a floorsize of
36.7 squaremeters, located on the 12nd floor of the The Trendy Condominium
building, in the popular Watthana district near BTS Nana. Please contact us to
schedule a viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|False|False|False|True|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Nana|Asok|Sukhumvit|Sukhumvit Toll Plaza|Phetchaburi Toll Plaza|Asok 2 Toll Plaza,350 m / 4 minutes by foot|580 m / 7 minutes by foot|900 m / 4 minutes by car|1 km / 11 minutes by car|1.9 km / 13 minutes by car|2.5 km / 10 minutes by car,"99,169",0,-2.3,4.59,-5.96
Siamese Gioia,"Soi Thawi Suk, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,7800000.0,,Bedrooms|Bathrooms|Internal area,1|1|53,Floors|Towers|Project Area|Year built,"7|2|3,168 m2|2012","PropertyScout ID 565991
Check all listing details on our website https://propertyscout.co.th/en/56----","Fully furnished 1 bedroom, 1 bathroom condo for sale with a floorsize of 53
squaremeters, located on the 3rd floor of the Siamese Gioia building, in the
popular Watthana district near MRT Phetchaburi. Please contact us to schedule a
viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|True|True|True,marker marker-mrt|marker marker-mrt|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phetchaburi|Sukhumvit|Asok|Asok 3 Toll Plaza|Asok 4 Toll Plaza|Asok 1 Toll Plaza,1.7 km / 5 minutes by car|1.9 km / 14 minutes by car|1.9 km / 11 minutes by car|2.4 km / 14 minutes by car|2.4 km / 14 minutes by car|2.5 km / 8 minutes by car,"110,885",0,-2.8,5.69,-0.75
Villa Asoke,"1596 Phetchaburi Rd, Khwaeng Makkasan, Khet Ratchathewi",Watthana,12960000.0,,Bedrooms|Bathrooms|Internal area,1|1|81,Floors|Towers|Project Area|Year built,"42|1|6,860 m2|2013","PropertyScout ID 883010
Check all listing details on our website https://propertyscout.co.th/en/88----","Fully furnished 1 bedroom, 1 bathroom condo for sale with a floorsize of 81
squaremeters, located on the 21st floor of the Villa Asoke building, in the
popular Ratchathewi district near MRT Phetchaburi. Please contact us to schedule
a viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|False,marker marker-mrt|marker marker-expressway|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-bts,Phetchaburi|Asok 2 Toll Plaza|Phra Ram 9|Asok 1 Toll Plaza|Asok 4 Toll Plaza|Nana,210 m / 3 minutes by foot|1.1 km / 5 minutes by car|1.8 km / 10 minutes by car|2 km / 10 minutes by car|2 km / 16 minutes by car|2 km / 8 minutes by car,"145,719",0,9.57,4.03,1.24
The Room Sukhumvit 69,"1579 Sukhumvit Road, Khwaeng Phra Khanong Nuea, Khet Watthana",Khlong Toei,6500000.0,,Bedrooms|Bathrooms|Internal area,1|1|34,Floors|Towers|Project Area|Year built,"27|1|5,206 m2|2014","Condo for sale, The Room Sukhumvit 69 (The Room Sukhumvit 69), size 34.26 square meters, near BTS Phra Khanong, built in room, fully furnished.",Listing No: YT12-936,Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|False|False|False|False,marker marker-bts|marker marker-bts|marker marker-bts|marker marker-expressway|marker marker-expressway|marker marker-expressway,Phra Khanong|Ekkamai|On Nut|Phra Khanong Toll Plaza|At Narong 2 Toll Plaza|At Narong 1 Toll Plaza,190 m / 3 minutes by foot|1.1 km / 9 minutes by car|1.3 km / 7 minutes by car|1.4 km / 3 minutes by car|2.2 km / 16 minutes by car|2.4 km / 11 minutes by car,"185,714",6.91,0.12,5.54,31.64
The Met,"Thanon Sathon Tai, Khwaeng Thung Maha Mek, Khet Sathon",Sathon,40000000.0,,Bedrooms|Bathrooms|Internal area,3|4|228,Floors|Towers|Project Area|Year built,"66|1|11,360 m2|2009","PropertyScout ID 565667
Check all listing details on our website https://propertyscout.co.th/en/56----","Fully furnished 3 bedrooms, 4 bathrooms condo for sale with a floorsize of 228
squaremeters, located on the 22nd floor of the The Met Sathorn building, in the
popular Sathon district near BTS Chong Nonsi. Please contact us to schedule a
viewing.",Elevator|Parking|24-hours Security|CCTV|Swimming Pool|Sauna|Gym|Garden / BBQ|Playground / Kid's Area|Shop on Premise|Restaurant on Premise|Wi-Fi,True|True|True|True|True|True|True|True|True|False|False|True,marker marker-bts|marker marker-bts|marker marker-mrt|marker marker-expressway|marker marker-expressway|marker marker-expressway,Chong Nonsi|Sala Daeng|Si Lom|Sathon Toll Plaza|Rama 4-2 Toll Plaza|Surawong Toll Plaza,660 m / 8 minutes by foot|1 km / 9 minutes by car|1.4 km / 8 minutes by car|1.9 km / 5 minutes by car|2.1 km / 8 minutes by car|2.7 km / 11 minutes by car,"163,158",-9.2,-8.23,3.87,-9.15
,,Khlong Toei,9700000.0,55000.0,Bedrooms|Bathrooms|Internal area,2|2|80,,,"PropertyScout ID 888200
Check all listing details on our website https://propertyscout.co.th/en/88----","Fully furnished 2 bedrooms, 2 bathrooms condo for rent / sale with a floorsize
of 80 squaremeters, located on the 5th floor of the Serene Place Sukhumvit 24
Condominium building, in the popular Khlong Toei district near BTS Phrom Phong.
Please contact us to schedule a viewing.",,,,,,,,,,
